id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35

11,Neon Pulse,Synth Wave,electronic,uplifting,0.88,128,0.79,0.85,0.08
12,Island Breeze,Tropical Vibes,reggae,relaxed,0.45,95,0.72,0.68,0.75
13,Thunder Strike,Metal Forge,metal,aggressive,0.96,165,0.35,0.52,0.05
14,Moonlit Sonata,Piano Dreams,classical,melancholic,0.32,70,0.48,0.15,0.94
15,Velvet Dreams,Smooth Groove,r&b,soulful,0.62,105,0.75,0.72,0.28
16,Mountain Path,Folk Stories,folk,contemplative,0.48,88,0.65,0.38,0.88
17,Beat Drop,Urban Rhythm,hip-hop,energetic,0.85,115,0.81,0.79,0.12
18,Summer Roads,Country Roads,country,nostalgic,0.56,100,0.73,0.61,0.55
